"CZAS";"PM10 Pył zawieszony PM10  [µg/m3]";"PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"1:00";"40";"39"
"2:00";"38";"37"
"3:00";"36";"36"
"4:00";"33";"32"
"5:00";"31";"31"
"6:00";"32";"31"
"7:00";"32";"31"
"8:00";"33";"32"
"9:00";"36";"34"
"10:00";"42";"39"
"11:00";"46";"43"
"12:00";"47";"42"
"13:00";"48";"44"
"14:00";"51";"48"
"15:00";"51";"48"
"16:00";"51";"48"
"17:00";"48";"46"
"18:00";"47";"44"
"19:00";"50";"46"
"20:00";"53";"50"
"21:00";"55";"52"
"22:00";"52";"49"
"23:00";"48";"47"
"24:00";"49";"49"
"wartość średnia";"44 (poz. dop.: 50 µg/m3)";"42"
"minimum";"31";"31"
"maksimum";"55";"52"
